sensor_id,asset_id,tag,name,sensor_type,unit,normal_min,normal_max,alarm_low,alarm_high,trip_low,trip_high,area,location
P-102-PRESS,AREA-HP-SEP:P-102,P-102/PRESS,HP Separator Drain Pump B - PRESSURE,PRESSURE,bar,3,12,2.55,13.8,2.1,15.6,HP Separation Train,Deck A
P-102-VIB,AREA-HP-SEP:P-102,P-102/VIB,HP Separator Drain Pump B - VIBRATION,VIBRATION,mm/s,0,3,0,3.45,0,3.9,HP Separation Train,Deck A
P-102-CURR,AREA-HP-SEP:P-102,P-102/CURR,HP Separator Drain Pump B - CURRENT,CURRENT,A,15,55,12.75,63.25,10.5,71.5,HP Separation Train,Deck A
P-102-TEMP,AREA-HP-SEP:P-102,P-102/TEMP,HP Separator Drain Pump B - TEMPERATURE,TEMPERATURE,degC,30,65,25.5,74.75,21,84.5,HP Separation Train,Deck A
FT-101-PV,AREA-HP-SEP:FT-101,FT-101/PV,HP Sep Gas Flow Meter - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,HP Separation Train,Deck A
FT-102-PV,AREA-HP-SEP:FT-102,FT-102/PV,HP Sep Oil Flow Meter - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,HP Separation Train,Deck A
PT-101-PV,AREA-HP-SEP:PT-101,PT-101/PV,HP Sep Pressure Transmitter A - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,HP Separation Train,Deck A
PT-102-PV,AREA-HP-SEP:PT-102,PT-102/PV,HP Sep Pressure Transmitter B - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,HP Separation Train,Deck A
LT-101-PV,AREA-HP-SEP:LT-101,LT-101/PV,HP Sep Level Transmitter A - LEVEL,LEVEL,%,20,80,17,92,14,104,HP Separation Train,Deck A
LT-102-PV,AREA-HP-SEP:LT-102,LT-102/PV,HP Sep Level Transmitter B - LEVEL,LEVEL,%,20,80,17,92,14,104,HP Separation Train,Deck A
TT-101-PV,AREA-HP-SEP:TT-101,TT-101/PV,HP Sep Temperature Tx A - TEMPERATURE,TEMPERATURE,degC,40,100,34,115,28,130,HP Separation Train,Deck A
TT-102-PV,AREA-HP-SEP:TT-102,TT-102/PV,HP Sep Temperature Tx B - TEMPERATURE,TEMPERATURE,degC,40,100,34,115,28,130,HP Separation Train,Deck A
K-201-SPRESS,AREA-LP-COMP:K-201,K-201/SPRESS,LP Compressor A - PRESSURE,PRESSURE,bar,5,25,4.25,28.75,3.5,32.5,LP Compression Train,Deck B
K-201-DPRESS,AREA-LP-COMP:K-201,K-201/DPRESS,LP Compressor A - PRESSURE,PRESSURE,bar,30,80,25.5,92,21,104,LP Compression Train,Deck B
K-201-FLOW,AREA-LP-COMP:K-201,K-201/FLOW,LP Compressor A - FLOW,FLOW,MMscfd,1,8,0.85,9.2,0.7,10.4,LP Compression Train,Deck B
K-201-VIBDE,AREA-LP-COMP:K-201,K-201/VIBDE,LP Compressor A - VIBRATION,VIBRATION,mm/s,0,5,0,5.75,0,6.5,LP Compression Train,Deck B
K-201-VIBNDE,AREA-LP-COMP:K-201,K-201/VIBNDE,LP Compressor A - VIBRATION,VIBRATION,mm/s,0,5,0,5.75,0,6.5,LP Compression Train,Deck B
K-201-DTEMP,AREA-LP-COMP:K-201,K-201/DTEMP,LP Compressor A - TEMPERATURE,TEMPERATURE,degC,60,120,51,138,42,156,LP Compression Train,Deck B
K-202-SPRESS,AREA-LP-COMP:K-202,K-202/SPRESS,LP Compressor B - PRESSURE,PRESSURE,bar,5,25,4.25,28.75,3.5,32.5,LP Compression Train,Deck B
K-202-DPRESS,AREA-LP-COMP:K-202,K-202/DPRESS,LP Compressor B - PRESSURE,PRESSURE,bar,30,80,25.5,92,21,104,LP Compression Train,Deck B
K-202-FLOW,AREA-LP-COMP:K-202,K-202/FLOW,LP Compressor B - FLOW,FLOW,MMscfd,1,8,0.85,9.2,0.7,10.4,LP Compression Train,Deck B
K-202-VIBDE,AREA-LP-COMP:K-202,K-202/VIBDE,LP Compressor B - VIBRATION,VIBRATION,mm/s,0,5,0,5.75,0,6.5,LP Compression Train,Deck B
K-202-VIBNDE,AREA-LP-COMP:K-202,K-202/VIBNDE,LP Compressor B - VIBRATION,VIBRATION,mm/s,0,5,0,5.75,0,6.5,LP Compression Train,Deck B
K-202-DTEMP,AREA-LP-COMP:K-202,K-202/DTEMP,LP Compressor B - TEMPERATURE,TEMPERATURE,degC,60,120,51,138,42,156,LP Compression Train,Deck B
V-201-PRESS,AREA-LP-COMP:V-201,V-201/PRESS,LP Suction Scrubber A - PRESSURE,PRESSURE,bar,5,30,4.25,34.5,3.5,39,LP Compression Train,Deck B
V-201-LEVEL,AREA-LP-COMP:V-201,V-201/LEVEL,LP Suction Scrubber A - LEVEL,LEVEL,%,10,40,8.5,46,7,52,LP Compression Train,Deck B
V-201-TEMP,AREA-LP-COMP:V-201,V-201/TEMP,LP Suction Scrubber A - TEMPERATURE,TEMPERATURE,degC,20,50,17,57.5,14,65,LP Compression Train,Deck B
V-202-PRESS,AREA-LP-COMP:V-202,V-202/PRESS,LP Suction Scrubber B - PRESSURE,PRESSURE,bar,5,30,4.25,34.5,3.5,39,LP Compression Train,Deck B
V-202-LEVEL,AREA-LP-COMP:V-202,V-202/LEVEL,LP Suction Scrubber B - LEVEL,LEVEL,%,10,40,8.5,46,7,52,LP Compression Train,Deck B
V-202-TEMP,AREA-LP-COMP:V-202,V-202/TEMP,LP Suction Scrubber B - TEMPERATURE,TEMPERATURE,degC,20,50,17,57.5,14,65,LP Compression Train,Deck B
E-201-TINLET,AREA-LP-COMP:E-201,E-201/TINLET,LP Compressor Aftercooler A - TEMPERATURE,TEMPERATURE,degC,80,140,68,161,56,182,LP Compression Train,Deck B
E-201-TOUTLET,AREA-LP-COMP:E-201,E-201/TOUTLET,LP Compressor Aftercooler A - TEMPERATURE,TEMPERATURE,degC,40,70,34,80.5,28,91,LP Compression Train,Deck B
E-201-PRESS,AREA-LP-COMP:E-201,E-201/PRESS,LP Compressor Aftercooler A - PRESSURE,PRESSURE,bar,30,80,25.5,92,21,104,LP Compression Train,Deck B
E-202-TINLET,AREA-LP-COMP:E-202,E-202/TINLET,LP Compressor Aftercooler B - TEMPERATURE,TEMPERATURE,degC,80,140,68,161,56,182,LP Compression Train,Deck B
E-202-TOUTLET,AREA-LP-COMP:E-202,E-202/TOUTLET,LP Compressor Aftercooler B - TEMPERATURE,TEMPERATURE,degC,40,70,34,80.5,28,91,LP Compression Train,Deck B
E-202-PRESS,AREA-LP-COMP:E-202,E-202/PRESS,LP Compressor Aftercooler B - PRESSURE,PRESSURE,bar,30,80,25.5,92,21,104,LP Compression Train,Deck B
PT-201-PV,AREA-LP-COMP:PT-201,PT-201/PV,LP Suction Pressure Tx A - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,LP Compression Train,Deck B
PT-202-PV,AREA-LP-COMP:PT-202,PT-202/PV,LP Suction Pressure Tx B - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,LP Compression Train,Deck B
PT-203-PV,AREA-LP-COMP:PT-203,PT-203/PV,LP Discharge Pressure Tx A - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,LP Compression Train,Deck B
PT-204-PV,AREA-LP-COMP:PT-204,PT-204/PV,LP Discharge Pressure Tx B - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,LP Compression Train,Deck B
FT-201-PV,AREA-LP-COMP:FT-201,FT-201/PV,LP Compressor Suction Flow Tx - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,LP Compression Train,Deck B
VT-201-PV,AREA-LP-COMP:VT-201,VT-201/PV,K-201 Vibration Sensor DE - VIBRATION,VIBRATION,mm/s,0,5,0,5.75,0,6.5,LP Compression Train,Deck B
VT-202-PV,AREA-LP-COMP:VT-202,VT-202/PV,K-201 Vibration Sensor NDE - VIBRATION,VIBRATION,mm/s,0,5,0,5.75,0,6.5,LP Compression Train,Deck B
VT-203-PV,AREA-LP-COMP:VT-203,VT-203/PV,K-202 Vibration Sensor DE - VIBRATION,VIBRATION,mm/s,0,5,0,5.75,0,6.5,LP Compression Train,Deck B
TT-201-PV,AREA-LP-COMP:TT-201,TT-201/PV,LP Comp A Discharge Temp - TEMPERATURE,TEMPERATURE,degC,40,100,34,115,28,130,LP Compression Train,Deck B
TT-202-PV,AREA-LP-COMP:TT-202,TT-202/PV,LP Comp B Discharge Temp - TEMPERATURE,TEMPERATURE,degC,40,100,34,115,28,130,LP Compression Train,Deck B
LT-201-PV,AREA-LP-COMP:LT-201,LT-201/PV,LP Scrubber A Level Tx - LEVEL,LEVEL,%,20,80,17,92,14,104,LP Compression Train,Deck B
V-301-LEVEL,AREA-WATER:V-301,V-301/LEVEL,Produced Water Vessel - LEVEL,LEVEL,%,25,75,21.25,86.25,17.5,97.5,Water Treatment,Deck C
V-301-PRESS,AREA-WATER:V-301,V-301/PRESS,Produced Water Vessel - PRESSURE,PRESSURE,bar,2,8,1.7,9.2,1.4,10.4,Water Treatment,Deck C
V-301-TEMP,AREA-WATER:V-301,V-301/TEMP,Produced Water Vessel - TEMPERATURE,TEMPERATURE,degC,30,60,25.5,69,21,78,Water Treatment,Deck C
V-302-DPRES,AREA-WATER:V-302,V-302/DPRES,Deoiling Hydrocyclone Package - PRESSURE,PRESSURE,bar,2,6,1.7,6.9,1.4,7.8,Water Treatment,Deck C
V-302-FLOW,AREA-WATER:V-302,V-302/FLOW,Deoiling Hydrocyclone Package - FLOW,FLOW,m3/h,20,100,17,115,14,130,Water Treatment,Deck C
E-301-TINLET,AREA-WATER:E-301,E-301/TINLET,Produced Water Cooler - TEMPERATURE,TEMPERATURE,degC,50,120,42.5,138,35,156,Water Treatment,Deck C
E-301-TOUTLET,AREA-WATER:E-301,E-301/TOUTLET,Produced Water Cooler - TEMPERATURE,TEMPERATURE,degC,30,70,25.5,80.5,21,91,Water Treatment,Deck C
E-301-PSHELL,AREA-WATER:E-301,E-301/PSHELL,Produced Water Cooler - PRESSURE,PRESSURE,bar,3,15,2.55,17.25,2.1,19.5,Water Treatment,Deck C
E-301-FLOW,AREA-WATER:E-301,E-301/FLOW,Produced Water Cooler - FLOW,FLOW,m3/h,30,150,25.5,172.5,21,195,Water Treatment,Deck C
P-301-FLOW,AREA-WATER:P-301,P-301/FLOW,Produced Water Transfer Pump A - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,Water Treatment,Deck C
P-301-PRESS,AREA-WATER:P-301,P-301/PRESS,Produced Water Transfer Pump A - PRESSURE,PRESSURE,bar,3,12,2.55,13.8,2.1,15.6,Water Treatment,Deck C
P-301-VIB,AREA-WATER:P-301,P-301/VIB,Produced Water Transfer Pump A - VIBRATION,VIBRATION,mm/s,0,3,0,3.45,0,3.9,Water Treatment,Deck C
P-301-CURR,AREA-WATER:P-301,P-301/CURR,Produced Water Transfer Pump A - CURRENT,CURRENT,A,15,55,12.75,63.25,10.5,71.5,Water Treatment,Deck C
P-301-TEMP,AREA-WATER:P-301,P-301/TEMP,Produced Water Transfer Pump A - TEMPERATURE,TEMPERATURE,degC,30,65,25.5,74.75,21,84.5,Water Treatment,Deck C
P-302-FLOW,AREA-WATER:P-302,P-302/FLOW,Produced Water Transfer Pump B - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,Water Treatment,Deck C
P-302-PRESS,AREA-WATER:P-302,P-302/PRESS,Produced Water Transfer Pump B - PRESSURE,PRESSURE,bar,3,12,2.55,13.8,2.1,15.6,Water Treatment,Deck C
P-302-VIB,AREA-WATER:P-302,P-302/VIB,Produced Water Transfer Pump B - VIBRATION,VIBRATION,mm/s,0,3,0,3.45,0,3.9,Water Treatment,Deck C
P-302-CURR,AREA-WATER:P-302,P-302/CURR,Produced Water Transfer Pump B - CURRENT,CURRENT,A,15,55,12.75,63.25,10.5,71.5,Water Treatment,Deck C
P-302-TEMP,AREA-WATER:P-302,P-302/TEMP,Produced Water Transfer Pump B - TEMPERATURE,TEMPERATURE,degC,30,65,25.5,74.75,21,84.5,Water Treatment,Deck C
P-303-FLOW,AREA-WATER:P-303,P-303/FLOW,Cooling Water Pump A - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,Water Treatment,Deck C
P-303-PRESS,AREA-WATER:P-303,P-303/PRESS,Cooling Water Pump A - PRESSURE,PRESSURE,bar,3,12,2.55,13.8,2.1,15.6,Water Treatment,Deck C
P-303-VIB,AREA-WATER:P-303,P-303/VIB,Cooling Water Pump A - VIBRATION,VIBRATION,mm/s,0,3,0,3.45,0,3.9,Water Treatment,Deck C
P-303-CURR,AREA-WATER:P-303,P-303/CURR,Cooling Water Pump A - CURRENT,CURRENT,A,15,55,12.75,63.25,10.5,71.5,Water Treatment,Deck C
P-303-TEMP,AREA-WATER:P-303,P-303/TEMP,Cooling Water Pump A - TEMPERATURE,TEMPERATURE,degC,30,65,25.5,74.75,21,84.5,Water Treatment,Deck C
P-304-FLOW,AREA-WATER:P-304,P-304/FLOW,Cooling Water Pump B - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,Water Treatment,Deck C
P-304-PRESS,AREA-WATER:P-304,P-304/PRESS,Cooling Water Pump B - PRESSURE,PRESSURE,bar,3,12,2.55,13.8,2.1,15.6,Water Treatment,Deck C
P-304-VIB,AREA-WATER:P-304,P-304/VIB,Cooling Water Pump B - VIBRATION,VIBRATION,mm/s,0,3,0,3.45,0,3.9,Water Treatment,Deck C
P-304-CURR,AREA-WATER:P-304,P-304/CURR,Cooling Water Pump B - CURRENT,CURRENT,A,15,55,12.75,63.25,10.5,71.5,Water Treatment,Deck C
P-304-TEMP,AREA-WATER:P-304,P-304/TEMP,Cooling Water Pump B - TEMPERATURE,TEMPERATURE,degC,30,65,25.5,74.75,21,84.5,Water Treatment,Deck C
FT-301-PV,AREA-WATER:FT-301,FT-301/PV,PW Transfer Flow Meter - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,Water Treatment,Deck C
PT-301-PV,AREA-WATER:PT-301,PT-301/PV,PW Vessel Pressure Tx - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,Water Treatment,Deck C
LT-301-PV,AREA-WATER:LT-301,LT-301/PV,PW Vessel Level Tx A - LEVEL,LEVEL,%,20,80,17,92,14,104,Water Treatment,Deck C
LT-302-PV,AREA-WATER:LT-302,LT-302/PV,PW Vessel Level Tx B - LEVEL,LEVEL,%,20,80,17,92,14,104,Water Treatment,Deck C
TT-301-PV,AREA-WATER:TT-301,TT-301/PV,PW Cooler Outlet Temp A - TEMPERATURE,TEMPERATURE,degC,40,100,34,115,28,130,Water Treatment,Deck C
TT-302-PV,AREA-WATER:TT-302,TT-302/PV,PW Cooler Outlet Temp B - TEMPERATURE,TEMPERATURE,degC,40,100,34,115,28,130,Water Treatment,Deck C
TT-303-PV,AREA-WATER:TT-303,TT-303/PV,PW Cooler Inlet Temp - TEMPERATURE,TEMPERATURE,degC,40,100,34,115,28,130,Water Treatment,Deck C
VT-301-PV,AREA-WATER:VT-301,VT-301/PV,P-301 Pump Vibration - VIBRATION,VIBRATION,mm/s,0,5,0,5.75,0,6.5,Water Treatment,Deck C
VT-302-PV,AREA-WATER:VT-302,VT-302/PV,P-303 CW Pump Vibration - VIBRATION,VIBRATION,mm/s,0,5,0,5.75,0,6.5,Water Treatment,Deck C
AT-301-PV,AREA-WATER:AT-301,AT-301/PV,PW Oil-in-Water Analyser - CONCENTRATION,CONCENTRATION,mg/L,5,50,4.25,57.5,3.5,65,Water Treatment,Deck C
K-401-PRESS,AREA-UTIL:K-401,K-401/PRESS,Instrument Air Compressor A - PRESSURE,PRESSURE,bar,6,10,5.1,11.5,4.2,13,Utilities,Deck D
K-401-VIB,AREA-UTIL:K-401,K-401/VIB,Instrument Air Compressor A - VIBRATION,VIBRATION,mm/s,0,8,0,9.2,0,10.4,Utilities,Deck D
K-401-TEMP,AREA-UTIL:K-401,K-401/TEMP,Instrument Air Compressor A - TEMPERATURE,TEMPERATURE,degC,40,90,34,103.5,28,117,Utilities,Deck D
K-402-PRESS,AREA-UTIL:K-402,K-402/PRESS,Instrument Air Compressor B - PRESSURE,PRESSURE,bar,6,10,5.1,11.5,4.2,13,Utilities,Deck D
K-402-VIB,AREA-UTIL:K-402,K-402/VIB,Instrument Air Compressor B - VIBRATION,VIBRATION,mm/s,0,8,0,9.2,0,10.4,Utilities,Deck D
K-402-TEMP,AREA-UTIL:K-402,K-402/TEMP,Instrument Air Compressor B - TEMPERATURE,TEMPERATURE,degC,40,90,34,103.5,28,117,Utilities,Deck D
V-401-PRESS,AREA-UTIL:V-401,V-401/PRESS,Instrument Air Receiver - PRESSURE,PRESSURE,bar,7,9,5.95,10.35,4.9,11.7,Utilities,Deck D
V-402-PRESS,AREA-UTIL:V-402,V-402/PRESS,Fuel Gas Scrubber - PRESSURE,PRESSURE,bar,5,30,4.25,34.5,3.5,39,Utilities,Deck D
V-402-LEVEL,AREA-UTIL:V-402,V-402/LEVEL,Fuel Gas Scrubber - LEVEL,LEVEL,%,10,40,8.5,46,7,52,Utilities,Deck D
V-402-TEMP,AREA-UTIL:V-402,V-402/TEMP,Fuel Gas Scrubber - TEMPERATURE,TEMPERATURE,degC,20,50,17,57.5,14,65,Utilities,Deck D
P-401-FLOW,AREA-UTIL:P-401,P-401/FLOW,Fire Water Pump A - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,Utilities,Deck D
P-401-PRESS,AREA-UTIL:P-401,P-401/PRESS,Fire Water Pump A - PRESSURE,PRESSURE,bar,3,12,2.55,13.8,2.1,15.6,Utilities,Deck D
P-401-VIB,AREA-UTIL:P-401,P-401/VIB,Fire Water Pump A - VIBRATION,VIBRATION,mm/s,0,3,0,3.45,0,3.9,Utilities,Deck D
P-401-CURR,AREA-UTIL:P-401,P-401/CURR,Fire Water Pump A - CURRENT,CURRENT,A,15,55,12.75,63.25,10.5,71.5,Utilities,Deck D
P-401-TEMP,AREA-UTIL:P-401,P-401/TEMP,Fire Water Pump A - TEMPERATURE,TEMPERATURE,degC,30,65,25.5,74.75,21,84.5,Utilities,Deck D
P-402-FLOW,AREA-UTIL:P-402,P-402/FLOW,Fire Water Pump B - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,Utilities,Deck D
P-402-PRESS,AREA-UTIL:P-402,P-402/PRESS,Fire Water Pump B - PRESSURE,PRESSURE,bar,3,12,2.55,13.8,2.1,15.6,Utilities,Deck D
P-402-VIB,AREA-UTIL:P-402,P-402/VIB,Fire Water Pump B - VIBRATION,VIBRATION,mm/s,0,3,0,3.45,0,3.9,Utilities,Deck D
P-402-CURR,AREA-UTIL:P-402,P-402/CURR,Fire Water Pump B - CURRENT,CURRENT,A,15,55,12.75,63.25,10.5,71.5,Utilities,Deck D
P-402-TEMP,AREA-UTIL:P-402,P-402/TEMP,Fire Water Pump B - TEMPERATURE,TEMPERATURE,degC,30,65,25.5,74.75,21,84.5,Utilities,Deck D
G-401-LOAD,AREA-UTIL:G-401,G-401/LOAD,Main Generator A - LOAD,LOAD,kW,500,2000,425,2300,350,2600,Utilities,Deck D
G-401-TEMP,AREA-UTIL:G-401,G-401/TEMP,Main Generator A - TEMPERATURE,TEMPERATURE,degC,60,110,51,126.5,42,143,Utilities,Deck D
G-401-FREQ,AREA-UTIL:G-401,G-401/FREQ,Main Generator A - FREQUENCY,FREQUENCY,Hz,49.5,50.5,42.07,58.07,34.65,65.65,Utilities,Deck D
G-402-LOAD,AREA-UTIL:G-402,G-402/LOAD,Main Generator B - LOAD,LOAD,kW,500,2000,425,2300,350,2600,Utilities,Deck D
G-402-TEMP,AREA-UTIL:G-402,G-402/TEMP,Main Generator B - TEMPERATURE,TEMPERATURE,degC,60,110,51,126.5,42,143,Utilities,Deck D
G-402-FREQ,AREA-UTIL:G-402,G-402/FREQ,Main Generator B - FREQUENCY,FREQUENCY,Hz,49.5,50.5,42.07,58.07,34.65,65.65,Utilities,Deck D
G-403-LOAD,AREA-UTIL:G-403,G-403/LOAD,Emergency Generator - LOAD,LOAD,kW,500,2000,425,2300,350,2600,Utilities,Deck D
G-403-TEMP,AREA-UTIL:G-403,G-403/TEMP,Emergency Generator - TEMPERATURE,TEMPERATURE,degC,60,110,51,126.5,42,143,Utilities,Deck D
G-403-FREQ,AREA-UTIL:G-403,G-403/FREQ,Emergency Generator - FREQUENCY,FREQUENCY,Hz,49.5,50.5,42.07,58.07,34.65,65.65,Utilities,Deck D
PT-401-PV,AREA-UTIL:PT-401,PT-401/PV,IA Header Pressure Tx - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,Utilities,Deck D
PT-402-PV,AREA-UTIL:PT-402,PT-402/PV,Fuel Gas Pressure Tx - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,Utilities,Deck D
PT-145-PV,AREA-UTIL:PT-145,PT-145/PV,Export Header Pressure Tx A - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,Utilities,Deck D
PT-146-PV,AREA-UTIL:PT-146,PT-146/PV,Export Header Pressure Tx B - PRESSURE,PRESSURE,bar,30,70,25.5,80.5,21,91,Utilities,Deck D
TT-401-PV,AREA-UTIL:TT-401,TT-401/PV,Generator A Exhaust Temp - TEMPERATURE,TEMPERATURE,degC,40,100,34,115,28,130,Utilities,Deck D
TT-402-PV,AREA-UTIL:TT-402,TT-402/PV,Generator B Exhaust Temp - TEMPERATURE,TEMPERATURE,degC,40,100,34,115,28,130,Utilities,Deck D
F-401-LEVEL,AREA-UTIL:F-401,F-401/LEVEL,Flare KO Drum - LEVEL,LEVEL,%,0,30,0,34.5,0,39,Utilities,Deck D
F-401-PRESS,AREA-UTIL:F-401,F-401/PRESS,Flare KO Drum - PRESSURE,PRESSURE,bar,1,5,0.85,5.75,0.7,6.5,Utilities,Deck D
V-501-LEVEL,AREA-EXPORT:V-501,V-501/LEVEL,Export Buffer Tank A - LEVEL,LEVEL,%,20,80,17,92,14,104,Metering & Export,Deck E
V-501-TEMP,AREA-EXPORT:V-501,V-501/TEMP,Export Buffer Tank A - TEMPERATURE,TEMPERATURE,degC,30,60,25.5,69,21,78,Metering & Export,Deck E
V-501-PRESS,AREA-EXPORT:V-501,V-501/PRESS,Export Buffer Tank A - PRESSURE,PRESSURE,bar,1,3,0.85,3.45,0.7,3.9,Metering & Export,Deck E
V-502-LEVEL,AREA-EXPORT:V-502,V-502/LEVEL,Export Buffer Tank B - LEVEL,LEVEL,%,20,80,17,92,14,104,Metering & Export,Deck E
V-502-TEMP,AREA-EXPORT:V-502,V-502/TEMP,Export Buffer Tank B - TEMPERATURE,TEMPERATURE,degC,30,60,25.5,69,21,78,Metering & Export,Deck E
V-502-PRESS,AREA-EXPORT:V-502,V-502/PRESS,Export Buffer Tank B - PRESSURE,PRESSURE,bar,1,3,0.85,3.45,0.7,3.9,Metering & Export,Deck E
P-501-FLOW,AREA-EXPORT:P-501,P-501/FLOW,Export Crude Pump A - FLOW,FLOW,m3/h,50,300,42.5,345,35,390,Metering & Export,Deck E
P-501-PRESS,AREA-EXPORT:P-501,P-501/PRESS,Export Crude Pump A - PRESSURE,PRESSURE,bar,3,12,2.55,13.8,2.1,15.6,Metering & Export,Deck E
