asset_id,tag,name,type,subtype,parent_id,area,location,manufacturer,model,install_date,status,criticality
AREA-WATER:P-302,P-302,Produced Water Transfer Pump B,Pump,CentrifugalPump,AREA-WATER,Water Treatment,Deck C,Sulzer,PUM-9489,2015-11-13,OPERATING,HIGH
AREA-WATER:P-303,P-303,Cooling Water Pump A,Pump,CentrifugalPump,AREA-WATER,Water Treatment,Deck C,Sulzer,PUM-8395,2015-05-07,STANDBY,HIGH
AREA-WATER:P-304,P-304,Cooling Water Pump B,Pump,CentrifugalPump,AREA-WATER,Water Treatment,Deck C,KSB,PUM-1851,2022-10-19,STANDBY,HIGH
AREA-WATER:FT-301,FT-301,PW Transfer Flow Meter,Instrument,FlowTransmitter,AREA-WATER,Water Treatment,Deck C,ABB,INS-8243,2019-03-03,OPERATING,LOW
AREA-WATER:PT-301,PT-301,PW Vessel Pressure Tx,Instrument,PressureTransmitter,AREA-WATER,Water Treatment,Deck C,Emerson,INS-3364,2020-09-16,MAINTENANCE,LOW
AREA-WATER:LT-301,LT-301,PW Vessel Level Tx A,Instrument,LevelTransmitter,AREA-WATER,Water Treatment,Deck C,Emerson,INS-4570,2017-04-24,OPERATING,LOW
AREA-WATER:LT-302,LT-302,PW Vessel Level Tx B,Instrument,LevelTransmitter,AREA-WATER,Water Treatment,Deck C,Honeywell,INS-9498,2022-04-15,MAINTENANCE,LOW
AREA-WATER:TT-301,TT-301,PW Cooler Outlet Temp A,Instrument,TemperatureTransmitter,AREA-WATER,Water Treatment,Deck C,Yokogawa,INS-7164,2019-10-09,OPERATING,LOW
AREA-WATER:TT-302,TT-302,PW Cooler Outlet Temp B,Instrument,TemperatureTransmitter,AREA-WATER,Water Treatment,Deck C,Endress+Hauser,INS-5947,2020-07-16,MAINTENANCE,LOW
AREA-WATER:TT-303,TT-303,PW Cooler Inlet Temp,Instrument,TemperatureTransmitter,AREA-WATER,Water Treatment,Deck C,Yokogawa,INS-7899,2017-08-19,MAINTENANCE,LOW
AREA-WATER:VT-301,VT-301,P-301 Pump Vibration,Instrument,VibrationTransmitter,AREA-WATER,Water Treatment,Deck C,Honeywell,INS-8901,2017-11-12,OPERATING,LOW
AREA-WATER:VT-302,VT-302,P-303 CW Pump Vibration,Instrument,VibrationTransmitter,AREA-WATER,Water Treatment,Deck C,ABB,INS-8530,2019-11-20,OPERATING,LOW
AREA-WATER:AT-301,AT-301,PW Oil-in-Water Analyser,Instrument,Analyser,AREA-WATER,Water Treatment,Deck C,Honeywell,INS-9652,2018-04-18,STANDBY,LOW
AREA-WATER:LCV-301,LCV-301,PW Vessel Level Control Valve,Valve,ControlValve,AREA-WATER,Water Treatment,Deck C,Flowserve,VAL-7433,2016-11-26,OPERATING,LOW
AREA-WATER:SDV-301,SDV-301,PW Transfer SDV,Valve,ShutdownValve,AREA-WATER,Water Treatment,Deck C,Velan,VAL-1652,2018-11-19,OPERATING,LOW
AREA-UTIL,AREA-UTIL,Utilities,Area,ProcessArea,FAC-001,Utilities,Deck D,,,2008-06-15,OPERATING,HIGH
AREA-UTIL:K-401,K-401,Instrument Air Compressor A,Compressor,Reciprocating,AREA-UTIL,Utilities,Deck D,Dresser-Rand,COM-6542,2020-07-02,OPERATING,HIGH
AREA-UTIL:K-402,K-402,Instrument Air Compressor B,Compressor,Reciprocating,AREA-UTIL,Utilities,Deck D,Siemens,COM-2090,2018-10-24,STANDBY,HIGH
AREA-UTIL:V-401,V-401,Instrument Air Receiver,Vessel,Receiver,AREA-UTIL,Utilities,Deck D,Exterran,VES-1295,2017-09-08,MAINTENANCE,MEDIUM
AREA-UTIL:V-402,V-402,Fuel Gas Scrubber,Vessel,Scrubber,AREA-UTIL,Utilities,Deck D,Forum Energy Technologies,VES-9180,2022-05-03,STANDBY,MEDIUM
AREA-UTIL:P-401,P-401,Fire Water Pump A,Pump,CentrifugalPump,AREA-UTIL,Utilities,Deck D,Flowserve,PUM-5321,2017-04-21,OPERATING,HIGH
AREA-UTIL:P-402,P-402,Fire Water Pump B,Pump,CentrifugalPump,AREA-UTIL,Utilities,Deck D,KSB,PUM-6327,2015-10-20,MAINTENANCE,HIGH
AREA-UTIL:G-401,G-401,Main Generator A,Generator,DieselGenerator,AREA-UTIL,Utilities,Deck D,Caterpillar,GEN-1529,2015-05-07,OPERATING,HIGH
AREA-UTIL:G-402,G-402,Main Generator B,Generator,DieselGenerator,AREA-UTIL,Utilities,Deck D,Rolls-Royce,GEN-6230,2021-05-19,OPERATING,HIGH
AREA-UTIL:G-403,G-403,Emergency Generator,Generator,DieselGenerator,AREA-UTIL,Utilities,Deck D,MTU,GEN-8187,2018-03-22,OPERATING,HIGH
AREA-UTIL:PT-401,PT-401,IA Header Pressure Tx,Instrument,PressureTransmitter,AREA-UTIL,Utilities,Deck D,Emerson,INS-1742,2021-06-25,STANDBY,LOW
AREA-UTIL:PT-402,PT-402,Fuel Gas Pressure Tx,Instrument,PressureTransmitter,AREA-UTIL,Utilities,Deck D,ABB,INS-9564,2016-02-16,STANDBY,LOW
AREA-UTIL:PT-145,PT-145,Export Header Pressure Tx A,Instrument,PressureTransmitter,AREA-UTIL,Utilities,Deck D,Honeywell,INS-7931,2016-02-19,STANDBY,LOW
AREA-UTIL:PT-146,PT-146,Export Header Pressure Tx B,Instrument,PressureTransmitter,AREA-UTIL,Utilities,Deck D,ABB,INS-2847,2022-07-21,OPERATING,LOW
AREA-UTIL:TT-401,TT-401,Generator A Exhaust Temp,Instrument,TemperatureTransmitter,AREA-UTIL,Utilities,Deck D,Yokogawa,INS-6223,2017-01-10,STANDBY,LOW
AREA-UTIL:TT-402,TT-402,Generator B Exhaust Temp,Instrument,TemperatureTransmitter,AREA-UTIL,Utilities,Deck D,Endress+Hauser,INS-3259,2021-06-06,STANDBY,LOW
AREA-UTIL:ESD-001,ESD-001,Platform Emergency Shutdown,Safety,ESDSystem,AREA-UTIL,Utilities,Deck D,Siemens,SAF-2695,2021-02-04,MAINTENANCE,LOW
AREA-UTIL:F-401,F-401,Flare KO Drum,Vessel,KnockoutDrum,AREA-UTIL,Utilities,Deck D,Peerless,VES-5244,2019-08-14,STANDBY,MEDIUM
AREA-UTIL:PSV-401,PSV-401,Flare Header PSV,Valve,SafetyValve,AREA-UTIL,Utilities,Deck D,Emerson Fisher,VAL-9811,2021-05-06,OPERATING,LOW
AREA-EXPORT,AREA-EXPORT,Metering & Export,Area,ProcessArea,FAC-001,Metering & Export,Deck E,,,2008-06-15,OPERATING,HIGH
AREA-EXPORT:V-501,V-501,Export Buffer Tank A,Vessel,StorageTank,AREA-EXPORT,Metering & Export,Deck E,Forum Energy Technologies,VES-5013,2018-04-14,OPERATING,MEDIUM
AREA-EXPORT:V-502,V-502,Export Buffer Tank B,Vessel,StorageTank,AREA-EXPORT,Metering & Export,Deck E,Frames,VES-4272,2018-04-15,OPERATING,MEDIUM
AREA-EXPORT:P-501,P-501,Export Crude Pump A,Pump,CentrifugalPump,AREA-EXPORT,Metering & Export,Deck E,Grundfos,PUM-1582,2022-10-19,MAINTENANCE,HIGH
AREA-EXPORT:P-502,P-502,Export Crude Pump B,Pump,CentrifugalPump,AREA-EXPORT,Metering & Export,Deck E,Sulzer,PUM-6280,2019-06-15,OPERATING,HIGH
AREA-EXPORT:E-501,E-501,Export Crude Heater,HeatExchanger,Shell&Tube,AREA-EXPORT,Metering & Export,Deck E,Tranter,HEA-6194,2015-09-01,STANDBY,MEDIUM
AREA-EXPORT:FT-501,FT-501,Export Flow Meter A,Instrument,FlowTransmitter,AREA-EXPORT,Metering & Export,Deck E,Emerson,INS-4320,2020-12-08,STANDBY,LOW
AREA-EXPORT:FT-502,FT-502,Export Flow Meter B,Instrument,FlowTransmitter,AREA-EXPORT,Metering & Export,Deck E,Yokogawa,INS-5159,2015-07-14,OPERATING,LOW
AREA-EXPORT:PT-501,PT-501,Export Line Pressure Tx A,Instrument,PressureTransmitter,AREA-EXPORT,Metering & Export,Deck E,ABB,INS-7784,2015-09-17,MAINTENANCE,LOW
AREA-EXPORT:PT-502,PT-502,Export Line Pressure Tx B,Instrument,PressureTransmitter,AREA-EXPORT,Metering & Export,Deck E,Yokogawa,INS-5313,2015-11-02,OPERATING,LOW
AREA-EXPORT:TT-501,TT-501,Export Crude Temp A,Instrument,TemperatureTransmitter,AREA-EXPORT,Metering & Export,Deck E,ABB,INS-7137,2019-08-24,STANDBY,LOW
AREA-EXPORT:TT-502,TT-502,Export Crude Temp B,Instrument,TemperatureTransmitter,AREA-EXPORT,Metering & Export,Deck E,Yokogawa,INS-9815,2022-10-27,MAINTENANCE,LOW
AREA-EXPORT:LT-501,LT-501,Export Tank A Level Tx,Instrument,LevelTransmitter,AREA-EXPORT,Metering & Export,Deck E,Emerson,INS-1803,2022-01-14,MAINTENANCE,LOW
AREA-EXPORT:LT-502,LT-502,Export Tank B Level Tx,Instrument,LevelTransmitter,AREA-EXPORT,Metering & Export,Deck E,Endress+Hauser,INS-7984,2017-11-13,MAINTENANCE,LOW
AREA-EXPORT:SDV-501,SDV-501,Export Line Shutdown Valve,Valve,ShutdownValve,AREA-EXPORT,Metering & Export,Deck E,Flowserve,VAL-3254,2016-05-21,OPERATING,LOW
AREA-EXPORT:PCV-501,PCV-501,Export Pressure Control Valve,Valve,ControlValve,AREA-EXPORT,Metering & Export,Deck E,Emerson Fisher,VAL-3154,2019-05-18,MAINTENANCE,LOW
