work_order_id,failure_event_id,asset_id,tag,area,work_order_type,priority,status,raised_date,scheduled_date,completed_date,reported_by,assigned_to,supervisor,work_description,findings,actions_taken,parts_replaced,labor_hours,downtime_hours,production_loss_bbl,scenario_id
WO-01011,,AREA-HP-SEP:P-101,P-101,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 08:12:42Z,CMMS Auto-generated,James Mackenzie,David Chen,Centrifugal pump lubrication and vibration check,Instrument calibration checked — within ±0.5% of span.,Centrifugal pump lubrication and vibration check,Gasket set,1.2,0,0,
WO-01012,,AREA-HP-SEP:P-101,P-101,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-02-24 07:00:00Z,2026-03-03 07:00:00Z,2026-03-03 08:52:03Z,CMMS Auto-generated,Astrid Johanssen,Karen Nilsson,Centrifugal pump lubrication and vibration check,Instrument calibration checked — within ±0.5% of span.,Centrifugal pump lubrication and vibration check,Filter elements,1.9,0,0,
WO-01013,,AREA-HP-SEP:P-101,P-101,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 08:40:56Z,CMMS Auto-generated,Priya Patel,Patricia Walsh,Centrifugal pump lubrication and vibration check,Coupling alignment checked — within 0.05mm tolerance.,Centrifugal pump lubrication and vibration check,Filter elements,1.7,0,0,
WO-01014,,AREA-HP-SEP:P-102,P-102,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2025-10-27 07:00:00Z,2025-11-03 07:00:00Z,2025-11-03 08:54:41Z,CMMS Auto-generated,Carlos Mendez,David Chen,Centrifugal pump lubrication and vibration check,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,Centrifugal pump lubrication and vibration check,Gasket set,1.9,0,0,
WO-01015,,AREA-HP-SEP:P-102,P-102,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 08:33:21Z,CMMS Auto-generated,Marco Ferretti,David Chen,Centrifugal pump lubrication and vibration check,Instrument calibration checked — within ±0.5% of span.,Centrifugal pump lubrication and vibration check,Gasket set,1.6,0,0,
WO-01016,,AREA-HP-SEP:P-102,P-102,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 08:49:00Z,CMMS Auto-generated,James Mackenzie,Karen Nilsson,Centrifugal pump lubrication and vibration check,Vibration readings acceptable. Trend history reviewed — no deterioration noted.,Centrifugal pump lubrication and vibration check,None,1.8,0,0,
WO-01017,,AREA-HP-SEP:P-102,P-102,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 08:49:15Z,CMMS Auto-generated,Carlos Mendez,Karen Nilsson,Centrifugal pump lubrication and vibration check,Vibration readings acceptable. Trend history reviewed — no deterioration noted.,Centrifugal pump lubrication and vibration check,None,1.8,0,0,
WO-01018,,AREA-HP-SEP:P-102,P-102,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-02-24 07:00:00Z,2026-03-03 07:00:00Z,2026-03-03 08:13:08Z,CMMS Auto-generated,Ahmed Al-Rashid,David Chen,Centrifugal pump lubrication and vibration check,Instrument calibration checked — within ±0.5% of span.,Centrifugal pump lubrication and vibration check,None,1.2,0,0,
WO-01019,,AREA-HP-SEP:P-102,P-102,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 08:52:21Z,CMMS Auto-generated,Priya Patel,Patricia Walsh,Centrifugal pump lubrication and vibration check,Instrument calibration checked — within ±0.5% of span.,Centrifugal pump lubrication and vibration check,Filter elements,1.9,0,0,
WO-01020,,AREA-LP-COMP:K-201,K-201,AREA-LP-COMP,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 11:28:19Z,CMMS Auto-generated,Sean Murphy,Karen Nilsson,Compressor vibration analysis and oil sample,All parameters within acceptable limits. Lubrication topped up.,Compressor vibration analysis and oil sample,Filter elements,4.5,0,0,
WO-01021,,AREA-LP-COMP:K-201,K-201,AREA-LP-COMP,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 11:58:54Z,CMMS Auto-generated,Carlos Mendez,Patricia Walsh,Compressor vibration analysis and oil sample,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,Compressor vibration analysis and oil sample,None,5.0,0,0,
WO-01022,,AREA-LP-COMP:K-201,K-201,AREA-LP-COMP,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 10:41:04Z,CMMS Auto-generated,Ahmed Al-Rashid,Patricia Walsh,Compressor vibration analysis and oil sample,No defects found. Equipment in satisfactory condition.,Compressor vibration analysis and oil sample,None,3.7,0,0,
WO-01023,,AREA-LP-COMP:K-202,K-202,AREA-LP-COMP,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 10:51:11Z,CMMS Auto-generated,Linda Olsen,Brian Thorpe,Compressor vibration analysis and oil sample,Instrument calibration checked — within ±0.5% of span.,Compressor vibration analysis and oil sample,Gasket set,3.9,0,0,
WO-01024,,AREA-LP-COMP:K-202,K-202,AREA-LP-COMP,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 11:25:15Z,CMMS Auto-generated,Sean Murphy,Karen Nilsson,Compressor vibration analysis and oil sample,Coupling alignment checked — within 0.05mm tolerance.,Compressor vibration analysis and oil sample,Gasket set,4.4,0,0,
WO-01025,,AREA-LP-COMP:K-202,K-202,AREA-LP-COMP,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 11:18:15Z,CMMS Auto-generated,Carlos Mendez,David Chen,Compressor vibration analysis and oil sample,Instrument calibration checked — within ±0.5% of span.,Compressor vibration analysis and oil sample,Filter elements,4.3,0,0,
WO-01026,,AREA-WATER:E-301,E-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 08:41:28Z,CMMS Auto-generated,Priya Patel,Patricia Walsh,HX differential pressure and performance check,Coupling alignment checked — within 0.05mm tolerance.,HX differential pressure and performance check,None,1.7,0,0,
WO-01027,,AREA-WATER:E-301,E-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 08:45:03Z,CMMS Auto-generated,Astrid Johanssen,Patricia Walsh,HX differential pressure and performance check,Vibration readings acceptable. Trend history reviewed — no deterioration noted.,HX differential pressure and performance check,Filter elements,1.8,0,0,
WO-01028,,AREA-WATER:P-301,P-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-10-27 07:00:00Z,2025-11-03 07:00:00Z,2025-11-03 08:37:01Z,CMMS Auto-generated,Fiona Stewart,Patricia Walsh,PW transfer pump check and seal inspection,Instrument calibration checked — within ±0.5% of span.,PW transfer pump check and seal inspection,None,1.6,0,0,
WO-01029,,AREA-WATER:P-301,P-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 08:51:11Z,CMMS Auto-generated,Ahmed Al-Rashid,Karen Nilsson,PW transfer pump check and seal inspection,All parameters within acceptable limits. Lubrication topped up.,PW transfer pump check and seal inspection,Filter elements,1.9,0,0,
WO-01030,,AREA-WATER:P-301,P-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 08:42:41Z,CMMS Auto-generated,Sean Murphy,Patricia Walsh,PW transfer pump check and seal inspection,All parameters within acceptable limits. Lubrication topped up.,PW transfer pump check and seal inspection,O-ring set,1.7,0,0,
WO-01031,,AREA-WATER:P-301,P-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 08:42:49Z,CMMS Auto-generated,Priya Patel,Karen Nilsson,PW transfer pump check and seal inspection,Vibration readings acceptable. Trend history reviewed — no deterioration noted.,PW transfer pump check and seal inspection,Gasket set,1.7,0,0,
WO-01032,,AREA-WATER:P-301,P-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-02-24 07:00:00Z,2026-03-03 07:00:00Z,2026-03-03 09:34:30Z,CMMS Auto-generated,Ahmed Al-Rashid,Karen Nilsson,PW transfer pump check and seal inspection,No defects found. Equipment in satisfactory condition.,PW transfer pump check and seal inspection,None,2.6,0,0,
WO-01033,,AREA-WATER:P-301,P-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 09:01:45Z,CMMS Auto-generated,Priya Patel,Patricia Walsh,PW transfer pump check and seal inspection,All parameters within acceptable limits. Lubrication topped up.,PW transfer pump check and seal inspection,None,2.0,0,0,
WO-01034,,AREA-WATER:P-303,P-303,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-10-27 07:00:00Z,2025-11-03 07:00:00Z,2025-11-03 08:27:51Z,CMMS Auto-generated,Priya Patel,Brian Thorpe,Cooling water pump vibration check and strainer clean,All parameters within acceptable limits. Lubrication topped up.,Cooling water pump vibration check and strainer clean,Gasket set,1.5,0,0,
WO-01035,,AREA-WATER:P-303,P-303,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 08:34:09Z,CMMS Auto-generated,Erik Larsen,Karen Nilsson,Cooling water pump vibration check and strainer clean,Coupling alignment checked — within 0.05mm tolerance.,Cooling water pump vibration check and strainer clean,Filter elements,1.6,0,0,
WO-01036,,AREA-WATER:P-303,P-303,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 08:51:28Z,CMMS Auto-generated,Erik Larsen,David Chen,Cooling water pump vibration check and strainer clean,Instrument calibration checked — within ±0.5% of span.,Cooling water pump vibration check and strainer clean,Filter elements,1.9,0,0,
WO-01037,,AREA-WATER:P-303,P-303,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 08:51:54Z,CMMS Auto-generated,James Mackenzie,Brian Thorpe,Cooling water pump vibration check and strainer clean,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,Cooling water pump vibration check and strainer clean,None,1.9,0,0,
WO-01038,,AREA-WATER:P-303,P-303,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-02-24 07:00:00Z,2026-03-03 07:00:00Z,2026-03-03 08:56:55Z,CMMS Auto-generated,Ahmed Al-Rashid,Patricia Walsh,Cooling water pump vibration check and strainer clean,Coupling alignment checked — within 0.05mm tolerance.,Cooling water pump vibration check and strainer clean,Gasket set,1.9,0,0,
WO-01039,,AREA-WATER:P-303,P-303,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 08:13:15Z,CMMS Auto-generated,Linda Olsen,Karen Nilsson,Cooling water pump vibration check and strainer clean,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,Cooling water pump vibration check and strainer clean,Gasket set,1.2,0,0,
WO-01040,,AREA-WATER:P-304,P-304,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-10-27 07:00:00Z,2025-11-03 07:00:00Z,2025-11-03 08:15:26Z,CMMS Auto-generated,Marco Ferretti,Brian Thorpe,Cooling water pump vibration check and strainer clean,No defects found. Equipment in satisfactory condition.,Cooling water pump vibration check and strainer clean,Filter elements,1.3,0,0,
WO-01041,,AREA-WATER:P-304,P-304,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-11-26 07:00:00Z,2025-12-03 07:00:00Z,2025-12-03 08:37:41Z,CMMS Auto-generated,Ahmed Al-Rashid,Karen Nilsson,Cooling water pump vibration check and strainer clean,Coupling alignment checked — within 0.05mm tolerance.,Cooling water pump vibration check and strainer clean,None,1.6,0,0,
WO-01042,,AREA-WATER:P-304,P-304,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 08:23:26Z,CMMS Auto-generated,Sean Murphy,David Chen,Cooling water pump vibration check and strainer clean,No defects found. Equipment in satisfactory condition.,Cooling water pump vibration check and strainer clean,None,1.4,0,0,
WO-01043,,AREA-WATER:P-304,P-304,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-01-25 07:00:00Z,2026-02-01 07:00:00Z,2026-02-01 08:37:46Z,CMMS Auto-generated,Astrid Johanssen,Brian Thorpe,Cooling water pump vibration check and strainer clean,Instrument calibration checked — within ±0.5% of span.,Cooling water pump vibration check and strainer clean,None,1.6,0,0,
WO-01044,,AREA-WATER:P-304,P-304,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-02-24 07:00:00Z,2026-03-03 07:00:00Z,2026-03-03 08:37:02Z,CMMS Auto-generated,Carlos Mendez,Brian Thorpe,Cooling water pump vibration check and strainer clean,No defects found. Equipment in satisfactory condition.,Cooling water pump vibration check and strainer clean,Filter elements,1.6,0,0,
WO-01045,,AREA-WATER:P-304,P-304,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 08:35:36Z,CMMS Auto-generated,Marco Ferretti,David Chen,Cooling water pump vibration check and strainer clean,Instrument calibration checked — within ±0.5% of span.,Cooling water pump vibration check and strainer clean,None,1.6,0,0,
WO-01046,,AREA-HP-SEP:V-101,V-101,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2025-12-26 07:00:00Z,2026-01-02 07:00:00Z,2026-01-02 15:02:52Z,CMMS Auto-generated,Ahmed Al-Rashid,David Chen,HP separator internal inspection (man-entry),Coupling alignment checked — within 0.05mm tolerance.,HP separator internal inspection (man-entry),Filter elements,8.0,0,0,
WO-01047,,AREA-HP-SEP:V-101,V-101,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 17:06:01Z,CMMS Auto-generated,James Mackenzie,David Chen,HP separator internal inspection (man-entry),Coupling alignment checked — within 0.05mm tolerance.,HP separator internal inspection (man-entry),None,10.1,0,0,
WO-01048,,AREA-UTIL:G-401,G-401,AREA-UTIL,PREVENTIVE,LOW,COMPLETED,2025-10-25 07:00:00Z,2025-11-01 07:00:00Z,2025-11-01 14:18:38Z,CMMS Auto-generated,James Mackenzie,Patricia Walsh,"Generator 500-hr service — oil, filters, belts",Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,"Generator 500-hr service — oil, filters, belts",None,7.3,0,0,
WO-01049,,AREA-UTIL:G-401,G-401,AREA-UTIL,PREVENTIVE,LOW,COMPLETED,2025-11-22 07:00:00Z,2025-11-29 07:00:00Z,2025-11-29 14:05:13Z,CMMS Auto-generated,Linda Olsen,David Chen,"Generator 500-hr service — oil, filters, belts",Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,"Generator 500-hr service — oil, filters, belts",None,7.1,0,0,
WO-01050,,AREA-UTIL:G-401,G-401,AREA-UTIL,PREVENTIVE,LOW,COMPLETED,2025-12-20 07:00:00Z,2025-12-27 07:00:00Z,2025-12-27 13:39:21Z,CMMS Auto-generated,James Mackenzie,Brian Thorpe,"Generator 500-hr service — oil, filters, belts",Coupling alignment checked — within 0.05mm tolerance.,"Generator 500-hr service — oil, filters, belts",None,6.7,0,0,
WO-01051,,AREA-UTIL:G-401,G-401,AREA-UTIL,PREVENTIVE,LOW,COMPLETED,2026-01-17 07:00:00Z,2026-01-24 07:00:00Z,2026-01-24 13:50:39Z,CMMS Auto-generated,Carlos Mendez,David Chen,"Generator 500-hr service — oil, filters, belts",Coupling alignment checked — within 0.05mm tolerance.,"Generator 500-hr service — oil, filters, belts",Gasket set,6.8,0,0,
WO-01052,,AREA-UTIL:G-401,G-401,AREA-UTIL,PREVENTIVE,LOW,COMPLETED,2026-03-14 07:00:00Z,2026-03-21 07:00:00Z,2026-03-21 12:06:16Z,CMMS Auto-generated,James Mackenzie,Patricia Walsh,"Generator 500-hr service — oil, filters, belts",Instrument calibration checked — within ±0.5% of span.,"Generator 500-hr service — oil, filters, belts",None,5.1,0,0,
WO-01053,,AREA-UTIL:G-402,G-402,AREA-UTIL,PREVENTIVE,LOW,COMPLETED,2025-10-25 07:00:00Z,2025-11-01 07:00:00Z,2025-11-01 12:44:56Z,CMMS Auto-generated,Linda Olsen,David Chen,"Generator 500-hr service — oil, filters, belts",No defects found. Equipment in satisfactory condition.,"Generator 500-hr service — oil, filters, belts",None,5.7,0,0,
WO-01054,,AREA-UTIL:G-402,G-402,AREA-UTIL,PREVENTIVE,LOW,COMPLETED,2025-11-22 07:00:00Z,2025-11-29 07:00:00Z,2025-11-29 14:14:03Z,CMMS Auto-generated,Sean Murphy,Patricia Walsh,"Generator 500-hr service — oil, filters, belts",Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,"Generator 500-hr service — oil, filters, belts",None,7.2,0,0,
WO-01055,,AREA-UTIL:G-402,G-402,AREA-UTIL,PREVENTIVE,LOW,COMPLETED,2025-12-20 07:00:00Z,2025-12-27 07:00:00Z,2025-12-27 13:37:05Z,CMMS Auto-generated,Ahmed Al-Rashid,David Chen,"Generator 500-hr service — oil, filters, belts",Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,"Generator 500-hr service — oil, filters, belts",Gasket set,6.6,0,0,
WO-01056,,AREA-UTIL:G-402,G-402,AREA-UTIL,PREVENTIVE,LOW,COMPLETED,2026-01-17 07:00:00Z,2026-01-24 07:00:00Z,2026-01-24 13:18:22Z,CMMS Auto-generated,Carlos Mendez,Brian Thorpe,"Generator 500-hr service — oil, filters, belts",Instrument calibration checked — within ±0.5% of span.,"Generator 500-hr service — oil, filters, belts",Gasket set,6.3,0,0,
WO-01057,,AREA-UTIL:G-402,G-402,AREA-UTIL,PREVENTIVE,LOW,COMPLETED,2026-03-14 07:00:00Z,2026-03-21 07:00:00Z,2026-03-21 13:09:27Z,CMMS Auto-generated,Erik Larsen,Patricia Walsh,"Generator 500-hr service — oil, filters, belts",No defects found. Equipment in satisfactory condition.,"Generator 500-hr service — oil, filters, belts",None,6.2,0,0,
WO-01058,,AREA-HP-SEP:PSV-101,PSV-101,AREA-HP-SEP,PREVENTIVE,LOW,COMPLETED,2026-03-26 07:00:00Z,2026-04-02 07:00:00Z,2026-04-02 10:10:59Z,CMMS Auto-generated,Ahmed Al-Rashid,Karen Nilsson,PSV bench test and recertification,Minor corrosion on external pipework — treated with Waxoyl and noted in next inspection scope.,PSV bench test and recertification,O-ring set,3.2,0,0,
WO-01059,,AREA-WATER:AT-301,AT-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-10-11 07:00:00Z,2025-10-18 07:00:00Z,2025-10-18 08:03:54Z,CMMS Auto-generated,Sean Murphy,Karen Nilsson,OiW analyser calibration and grab sample verification,Coupling alignment checked — within 0.05mm tolerance.,OiW analyser calibration and grab sample verification,Filter elements,1.1,0,0,
WO-01060,,AREA-WATER:AT-301,AT-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-10-25 07:00:00Z,2025-11-01 07:00:00Z,2025-11-01 08:10:28Z,CMMS Auto-generated,Priya Patel,David Chen,OiW analyser calibration and grab sample verification,Vibration readings acceptable. Trend history reviewed — no deterioration noted.,OiW analyser calibration and grab sample verification,O-ring set,1.2,0,0,
WO-01061,,AREA-WATER:AT-301,AT-301,AREA-WATER,PREVENTIVE,LOW,COMPLETED,2025-11-08 07:00:00Z,2025-11-15 07:00:00Z,2025-11-15 08:09:26Z,CMMS Auto-generated,Erik Larsen,David Chen,OiW analyser calibration and grab sample verification,All parameters within acceptable limits. Lubrication topped up.,OiW analyser calibration and grab sample verification,None,1.2,0,0,
